token,removed_token_count,token_appearance_count,relative_removal
scene,524,661,0.7927382753403933
y,522,797,0.6549560853199499
best,520,781,0.6658130601792573
&,519,653,0.7947932618683001
scenes,510,640,0.796875
life,507,792,0.6401515151515151
--,506,575,0.88
end,504,755,0.6675496688741722
did,502,686,0.7317784256559767
go,500,731,0.6839945280437757
ing,500,659,0.7587253414264037
off,492,800,0.615
such,489,633,0.7725118483412322
f,489,567,0.8624338624338624
director,479,559,0.8568872987477638
back,477,638,0.7476489028213166
why,475,594,0.7996632996632996
ever,475,675,0.7037037037037037
being,467,836,0.5586124401913876
still,465,662,0.702416918429003
ed,464,609,0.7619047619047619
o,460,605,0.7603305785123967
though,460,582,0.7903780068728522
two,458,835,0.548502994011976
c,452,541,0.8354898336414048
r,448,554,0.8086642599277978
'm,447,571,0.7828371278458844
know,444,698,0.6361031518624641
w,438,508,0.8622047244094488
am,437,514,0.8501945525291829
've,435,578,0.7525951557093425
makes,434,544,0.7977941176470589
while,428,677,0.6322008862629247
us,427,573,0.7452006980802792
fact,425,440,0.9659090909090909
actors,423,490,0.863265306122449
find,421,509,0.8271119842829077
horror,421,486,0.8662551440329218
those,420,610,0.6885245901639344
new,418,543,0.7697974217311234
look,415,560,0.7410714285714286
p,414,490,0.8448979591836735
however,414,440,0.9409090909090909
part,409,478,0.8556485355648535
ly,408,629,0.6486486486486487
cast,408,462,0.8831168831168831
through,405,559,0.7245080500894454
thing,404,568,0.7112676056338029
now,404,579,0.697754749568221
years,402,503,0.7992047713717694
old,399,549,0.726775956284153
same,398,481,0.8274428274428275
k,398,484,0.8223140495867769
watching,396,514,0.7704280155642024
n,394,463,0.8509719222462203
never,392,795,0.4930817610062893
lot,392,471,0.832271762208068
say,392,678,0.5781710914454278
seems,387,475,0.8147368421052632
going,387,519,0.7456647398843931
screen,384,407,0.9434889434889435
action,381,436,0.8738532110091743
own,380,479,0.7933194154488518
something,370,588,0.6292517006802721
young,368,513,0.7173489278752436
actually,368,443,0.8306997742663657
pretty,367,428,0.8574766355140186
st,367,412,0.8907766990291263
series,366,411,0.8905109489051095
original,364,427,0.8524590163934426
v,359,411,0.8734793187347932
few,359,536,0.6697761194029851
between,357,429,0.8321678321678322
able,355,434,0.8179723502304147
big,354,423,0.8368794326241135
work,353,531,0.664783427495292
e,351,472,0.7436440677966102
role,350,387,0.9043927648578811
j,348,389,0.8946015424164524
world,347,499,0.6953907815631263
every,346,538,0.6431226765799256
quite,345,441,0.782312925170068
're,336,505,0.6653465346534654
should,335,563,0.5950266429840142
nothing,331,476,0.6953781512605042
let,330,383,0.8616187989556136
come,329,437,0.7528604118993135
enough,329,407,0.8083538083538083
down,327,514,0.6361867704280155
doesn,324,564,0.574468085106383
before,321,513,0.6257309941520468
take,319,468,0.6816239316239316
bit,317,378,0.8386243386243386
yet,317,400,0.7925
re,315,376,0.8377659574468085
course,314,341,0.9208211143695014
both,313,477,0.6561844863731656
ch,311,366,0.8497267759562842
far,308,421,0.7315914489311164
point,307,417,0.7362110311750599
better,302,729,0.41426611796982166
american,302,342,0.8830409356725146
least,300,386,0.7772020725388601
minutes,299,351,0.8518518518518519
another,299,536,0.5578358208955224
performance,298,346,0.861271676300578
""".",297,334,0.8892215568862275
may,296,444,0.6666666666666666
around,295,435,0.6781609195402298
script,295,361,0.817174515235457
er,294,404,0.7277227722772277
ie,292,374,0.7807486631016043
guy,289,365,0.7917808219178082
un,288,324,0.8888888888888888
done,285,408,0.6985294117647058
long,285,452,0.6305309734513275
isn,285,441,0.6462585034013606
whole,283,335,0.844776119402985
funny,283,428,0.6612149532710281
got,281,395,0.7113924050632912
al,281,348,0.8074712643678161
play,280,334,0.8383233532934131
hard,278,333,0.8348348348348348
times,278,396,0.702020202020202
give,277,446,0.6210762331838565
played,275,322,0.8540372670807453
must,274,385,0.7116883116883117
u,273,305,0.8950819672131147
making,271,385,0.7038961038961039
last,270,380,0.7105263157894737
kind,270,330,0.8181818181818182
right,269,428,0.6285046728971962
comedy,269,347,0.7752161383285303
comes,268,336,0.7976190476190477
gets,266,413,0.6440677966101694
men,266,317,0.8391167192429022
almost,264,404,0.6534653465346535
want,263,435,0.6045977011494252
interesting,263,378,0.6957671957671958
job,263,297,0.8855218855218855
""",",261,303,0.8613861386138614
star,259,309,0.8381877022653722
your,259,790,0.3278481012658228
war,259,296,0.875
girl,258,343,0.7521865889212828
family,257,374,0.6871657754010695
anything,256,344,0.7441860465116279
ers,256,345,0.7420289855072464
goes,255,330,0.7727272727272727
away,254,354,0.7175141242937854
saw,252,281,0.896797153024911
fan,252,281,0.896797153024911
found,251,284,0.8838028169014085
es,250,340,0.7352941176470589
things,250,443,0.5643340857787811
since,250,338,0.7396449704142012
probably,248,347,0.7146974063400576
fun,247,360,0.6861111111111111
set,246,295,0.8338983050847457
house,245,286,0.8566433566433567
actor,245,279,0.8781362007168458
woman,244,336,0.7261904761904762
didn,243,453,0.5364238410596026
sp,243,262,0.9274809160305344
".""",242,275,0.88
sure,240,355,0.676056338028169
'd,240,316,0.759493670886076
again,239,476,0.5021008403361344
version,239,267,0.8951310861423221
effects,237,255,0.9294117647058824
seem,236,283,0.833922261484099
reason,235,289,0.8131487889273357
put,234,306,0.7647058823529411
year,234,294,0.7959183673469388
sh,234,263,0.8897338403041825
main,233,248,0.9395161290322581
'll,233,389,0.5989717223650386
day,233,372,0.6263440860215054
john,232,279,0.8315412186379928
z,232,273,0.8498168498168498
plays,232,292,0.7945205479452054
true,230,315,0.7301587301587301
car,227,256,0.88671875
feel,227,339,0.6696165191740413
audience,226,259,0.8725868725868726
together,225,273,0.8241758241758241
en,225,294,0.7653061224489796
night,224,271,0.8265682656826568
help,224,259,0.8648648648648649
th,224,245,0.9142857142857143
rather,221,384,0.5755208333333334
thought,220,385,0.5714285714285714
might,218,379,0.575197889182058
try,218,262,0.8320610687022901
school,218,247,0.8825910931174089
black,217,281,0.7722419928825622
although,214,305,0.7016393442622951
sense,214,299,0.7157190635451505
2,214,319,0.670846394984326
dvd,213,293,0.726962457337884
ar,212,249,0.8514056224899599
high,211,311,0.6784565916398714
having,211,317,0.6656151419558359
sex,210,236,0.8898305084745762
worth,210,329,0.6382978723404256
looking,209,321,0.6510903426791277
less,209,368,0.5679347826086957
instead,209,285,0.7333333333333333
during,209,257,0.8132295719844358
believe,208,270,0.7703703703703704
father,208,289,0.7197231833910035
red,207,250,0.828
shows,206,264,0.7803030303030303
read,205,234,0.8760683760683761
le,204,251,0.8127490039840638
dead,204,241,0.8464730290456431
book,203,259,0.7837837837837838
under,203,259,0.7837837837837838
always,203,403,0.5037220843672456
rest,203,234,0.8675213675213675
worst,202,278,0.7266187050359713
later,202,291,0.6941580756013745
tv,202,261,0.7739463601532567
full,202,224,0.9017857142857143
each,201,311,0.6463022508038585
place,200,263,0.7604562737642585
budget,200,228,0.8771929824561403
ies,198,260,0.7615384615384615
wife,198,248,0.7983870967741935
watched,195,216,0.9027777777777778
use,195,249,0.7831325301204819
looks,194,294,0.6598639455782312
hollywood,194,223,0.8699551569506726
else,193,253,0.7628458498023716
ending,193,294,0.6564625850340136
takes,192,275,0.6981818181818182
different,192,285,0.6736842105263158
head,192,250,0.768
once,191,304,0.6282894736842105
line,191,276,0.6920289855072463
our,191,358,0.5335195530726257
won,191,238,0.8025210084033614
seeing,190,269,0.7063197026022305
ad,189,212,0.8915094339622641
top,188,237,0.7932489451476793
beautiful,188,257,0.7315175097276264
heart,188,256,0.734375
home,188,247,0.7611336032388664
shot,187,233,0.8025751072961373
sl,187,199,0.9396984924623115
trying,187,295,0.6338983050847458
music,185,360,0.5138888888888888
money,185,258,0.7170542635658915
half,184,242,0.7603305785123967
until,184,236,0.7796610169491526
friends,184,218,0.8440366972477065
special,184,272,0.6764705882352942
production,183,237,0.7721518987341772
face,182,255,0.7137254901960784
im,180,206,0.8737864077669902
kids,179,249,0.7188755020080321
short,178,237,0.7510548523206751
act,178,197,0.9035532994923858
given,178,241,0.7385892116182573
mr,177,189,0.9365079365079365
used,177,226,0.7831858407079646
women,177,225,0.7866666666666666
de,177,194,0.9123711340206185
piece,175,225,0.7777777777777778
idea,175,217,0.8064516129032258
simply,175,239,0.7322175732217573
especially,173,304,0.569078947368421
style,171,207,0.8260869565217391
couple,170,196,0.8673469387755102
art,170,239,0.7112970711297071
low,169,243,0.6954732510288066
case,168,186,0.9032258064516129
without,168,386,0.43523316062176165
death,167,229,0.7292576419213974
written,167,207,0.8067632850241546
maybe,167,301,0.5548172757475083
care,167,196,0.8520408163265306
everything,166,288,0.5763888888888888
bl,166,182,0.9120879120879121
el,166,201,0.8258706467661692
either,165,218,0.7568807339449541
despite,165,205,0.8048780487804879
small,164,210,0.780952380952381
nice,164,264,0.6212121212121212
camera,164,206,0.7961165048543689
son,164,210,0.780952380952381
mind,164,257,0.6381322957198443
fl,163,174,0.9367816091954023
michael,162,179,0.9050279329608939
early,162,181,0.8950276243093923
live,162,221,0.7330316742081447
final,162,194,0.8350515463917526
sort,162,183,0.8852459016393442
ab,161,180,0.8944444444444445
boy,161,190,0.8473684210526315
white,160,214,0.7476635514018691
lost,160,231,0.6926406926406926
start,160,219,0.730593607305936
dark,159,202,0.7871287128712872
ness,159,185,0.8594594594594595
human,159,198,0.803030303030303
bo,159,170,0.9352941176470588
side,158,213,0.7417840375586855
turn,157,195,0.8051282051282052
become,157,187,0.839572192513369
co,155,161,0.9627329192546584
awful,154,191,0.806282722513089
wasn,154,215,0.7162790697674418
along,154,216,0.7129629629629629
police,154,174,0.8850574712643678
gives,153,189,0.8095238095238095
3,153,238,0.6428571428571429
playing,152,191,0.7958115183246073
1,152,218,0.6972477064220184
oh,152,196,0.7755102040816326
certainly,152,179,0.8491620111731844
often,152,217,0.7004608294930875
fight,152,168,0.9047619047619048
next,151,249,0.606425702811245
problem,150,184,0.8152173913043478
came,150,203,0.7389162561576355
friend,150,165,0.9090909090909091
game,150,176,0.8522727272727273
performances,148,218,0.6788990825688074
completely,148,230,0.6434782608695652
said,148,236,0.6271186440677966
understand,147,198,0.7424242424242424
lines,147,201,0.7313432835820896
tr,147,151,0.9735099337748344
video,147,166,0.8855421686746988
becomes,147,182,0.8076923076923077
unfortunately,147,164,0.8963414634146342
title,146,168,0.8690476190476191
poor,146,224,0.6517857142857143
sc,146,159,0.9182389937106918
killer,146,165,0.8848484848484849
keep,146,200,0.73
ant,146,164,0.8902439024390244
viewer,145,161,0.9006211180124224
left,145,240,0.6041666666666666
se,145,164,0.8841463414634146
town,145,151,0.9602649006622517
",""",145,174,0.8333333333333334
directed,145,154,0.9415584415584416
someone,144,256,0.5625
three,144,261,0.5517241379310345
perfect,144,235,0.6127659574468085
anyone,143,296,0.4831081081081081
lead,143,151,0.9470198675496688
doing,143,210,0.680952380952381
throughout,143,169,0.8461538461538461
second,142,217,0.6543778801843319
self,142,162,0.8765432098765432
age,142,200,0.71
remember,141,194,0.7268041237113402
dialogue,141,192,0.734375
cinem,141,148,0.9527027027027027
ent,141,162,0.8703703703703703
tell,140,206,0.6796116504854369
ke,139,159,0.8742138364779874
excellent,139,219,0.634703196347032
hero,139,155,0.896774193548387
king,138,153,0.9019607843137255
10,138,439,0.3143507972665148
moments,138,197,0.700507614213198
id,138,151,0.9139072847682119
mother,138,209,0.6602870813397129
wrong,137,212,0.6462264150943396
mean,137,166,0.8253012048192772
cl,137,143,0.958041958041958
others,136,203,0.6699507389162561
perhaps,136,215,0.6325581395348837
fans,135,202,0.6683168316831684
classic,135,239,0.5648535564853556
hit,135,152,0.8881578947368421
hand,135,163,0.8282208588957055
dr,135,145,0.9310344827586207
run,134,161,0.8322981366459627
called,134,166,0.8072289156626506
blood,134,173,0.7745664739884393
stupid,133,186,0.7150537634408602
based,133,164,0.8109756097560976
ic,133,161,0.8260869565217391
os,132,166,0.7951807228915663
enjoy,132,245,0.5387755102040817
picture,131,172,0.7616279069767442
finally,131,199,0.6582914572864321
gore,130,145,0.896551724137931
god,130,187,0.6951871657754011
cinema,130,188,0.6914893617021277
paul,130,151,0.8609271523178808
jack,130,144,0.9027777777777778
city,129,153,0.8431372549019608
lives,129,179,0.7206703910614525
name,129,184,0.7010869565217391
killed,129,150,0.86
against,128,176,0.7272727272727273
ish,128,170,0.7529411764705882
whose,128,145,0.8827586206896552
*,128,223,0.5739910313901345
actress,127,149,0.8523489932885906
himself,127,273,0.4652014652014652
save,127,148,0.8581081081081081
stories,126,143,0.8811188811188811
person,126,178,0.7078651685393258
example,126,148,0.8513513513513513
sound,125,165,0.7575757575757576
need,125,205,0.6097560975609756
evil,125,169,0.7396449704142012
late,125,151,0.8278145695364238
ne,125,149,0.8389261744966443
matter,125,141,0.8865248226950354
boring,124,149,0.8322147651006712
yes,124,177,0.7005649717514124
turns,124,150,0.8266666666666667
seemed,123,151,0.8145695364238411
episode,123,143,0.8601398601398601
....,123,157,0.7834394904458599
kill,123,147,0.8367346938775511
liked,122,155,0.7870967741935484
career,122,148,0.8243243243243243
ist,121,158,0.7658227848101266
supposed,121,143,0.8461538461538461
past,120,170,0.7058823529411765
went,120,153,0.7843137254901961
body,120,143,0.8391608391608392
finds,119,140,0.85
wonderful,119,186,0.6397849462365591
.),119,134,0.8880597014925373
truly,119,221,0.5384615384615384
already,118,154,0.7662337662337663
per,118,147,0.8027210884353742
parts,117,143,0.8181818181818182
stars,117,189,0.6190476190476191
middle,117,131,0.8931297709923665
absolutely,116,172,0.6744186046511628
today,116,175,0.6628571428571428
ir,116,136,0.8529411764705882
ok,116,154,0.7532467532467533
kid,116,149,0.7785234899328859
wanted,115,149,0.7718120805369127
sad,115,142,0.8098591549295775
rock,115,139,0.8273381294964028
flick,114,145,0.7862068965517242
soon,114,170,0.6705882352941176
direction,114,173,0.6589595375722543
none,114,135,0.8444444444444444
pl,114,127,0.8976377952755905
definitely,114,183,0.6229508196721312
chance,114,138,0.8260869565217391
..,113,123,0.9186991869918699
named,112,122,0.9180327868852459
cut,112,143,0.7832167832167832
itself,112,182,0.6153846153846154
known,112,138,0.8115942028985508
ard,112,133,0.8421052631578947
girls,112,134,0.835820895522388
tries,111,155,0.7161290322580646
air,111,130,0.8538461538461538
sub,111,117,0.9487179487179487
genre,111,160,0.69375
quality,111,170,0.6529411764705882
!!,111,148,0.75
roles,110,128,0.859375
opening,110,119,0.9243697478991597
guess,110,139,0.7913669064748201
laugh,110,184,0.5978260869565217
child,110,159,0.6918238993710691
power,110,135,0.8148148148148148
order,109,132,0.8257575757575758
enjoyed,109,146,0.7465753424657534
expect,109,143,0.7622377622377622
relationship,109,126,0.8650793650793651
entertaining,109,175,0.6228571428571429
close,109,153,0.7124183006535948
voice,108,124,0.8709677419354839
entire,108,168,0.6428571428571429
ast,108,122,0.8852459016393442
modern,108,131,0.8244274809160306
sequence,108,115,0.9391304347826087
violence,107,151,0.7086092715231788
dialog,107,122,0.8770491803278688
loved,107,134,0.7985074626865671
robert,107,117,0.9145299145299145
ex,107,116,0.9224137931034483
writer,107,140,0.7642857142857142
view,107,127,0.84251968503937
stop,107,150,0.7133333333333334
ones,107,133,0.8045112781954887
gr,107,113,0.9469026548672567
ill,107,123,0.8699186991869918
writing,107,155,0.6903225806451613
children,106,165,0.6424242424242425
anyway,106,152,0.6973684210526315
english,106,122,0.8688524590163934
guys,106,157,0.6751592356687898
except,106,143,0.7412587412587412
david,106,115,0.9217391304347826
ur,106,110,0.9636363636363636
add,106,116,0.9137931034482759
mar,106,117,0.905982905982906
humor,106,148,0.7162162162162162
group,105,115,0.9130434782608695
drama,105,146,0.7191780821917808
gang,105,114,0.9210526315789473
happens,104,117,0.8888888888888888
attempt,104,127,0.8188976377952756
behind,104,155,0.6709677419354839
starts,104,150,0.6933333333333334
getting,104,168,0.6190476190476191
history,104,169,0.6153846153846154
om,104,127,0.8188976377952756
cr,104,110,0.9454545454545454
ay,104,121,0.859504132231405
hour,103,142,0.7253521126760564
brother,103,128,0.8046875
ity,103,148,0.6959459459459459
qu,103,109,0.944954128440367
within,103,120,0.8583333333333333
happen,103,114,0.9035087719298246
5,102,157,0.6496815286624203
fine,102,157,0.6496815286624203
favorite,102,127,0.8031496062992126
number,101,121,0.8347107438016529
strong,101,134,0.753731343283582
complete,101,115,0.8782608695652174
etc,101,103,0.9805825242718447
york,100,105,0.9523809523809523
worse,100,171,0.5847953216374269
british,100,108,0.9259259259259259
dream,100,113,0.8849557522123894
several,100,159,0.6289308176100629
em,100,116,0.8620689655172413
win,100,112,0.8928571428571429
works,100,164,0.6097560975609756
par,100,110,0.9090909090909091
il,99,110,0.9
bring,99,115,0.8608695652173913
master,99,111,0.8918918918918919
everyone,99,247,0.4008097165991903
hell,99,132,0.75
lack,98,117,0.8376068376068376
level,98,128,0.765625
score,98,132,0.7424242424242424
appears,98,112,0.875
wh,98,105,0.9333333333333333
indeed,98,112,0.875
ram,98,113,0.8672566371681416
con,98,102,0.9607843137254902
team,98,109,0.8990825688073395
ung,98,101,0.9702970297029703
told,97,121,0.8016528925619835
totally,97,137,0.708029197080292
bill,97,109,0.8899082568807339
type,97,128,0.7578125
die,97,116,0.8362068965517241
ous,96,127,0.7559055118110236
odd,96,130,0.7384615384615385
released,96,111,0.8648648648648649
call,96,130,0.7384615384615385
ley,96,129,0.7441860465116279
ol,96,101,0.9504950495049505
amazing,96,153,0.6274509803921569
moment,96,140,0.6857142857142857
oil,96,103,0.9320388349514563
shown,95,106,0.8962264150943396
experience,95,136,0.6985294117647058
heard,95,109,0.8715596330275229
peter,95,106,0.8962264150943396
20,95,116,0.8189655172413793
stand,95,115,0.8260869565217391
including,95,130,0.7307692307692307
tom,95,105,0.9047619047619048
whether,95,118,0.8050847457627118
est,94,123,0.7642276422764228
word,94,129,0.7286821705426356
che,94,105,0.8952380952380953
atography,94,119,0.7899159663865546
felt,94,167,0.562874251497006
tale,94,112,0.8392857142857143
daughter,94,126,0.746031746031746
clearly,94,117,0.8034188034188035
simple,94,127,0.7401574803149606
brilliant,94,143,0.6573426573426573
aw,94,106,0.8867924528301887
involved,94,123,0.7642276422764228
aren,93,130,0.7153846153846154
ism,93,120,0.775
local,93,117,0.7948717948717948
joe,93,105,0.8857142857142857
bett,93,98,0.9489795918367347
ian,92,126,0.7301587301587301
days,92,153,0.6013071895424836
ann,92,92,1.0
4,92,156,0.5897435897435898
decent,92,139,0.6618705035971223
musical,92,119,0.773109243697479
french,92,107,0.8598130841121495
slow,91,128,0.7109375
ate,91,109,0.8348623853211009
begins,91,106,0.8584905660377359
gave,91,136,0.6691176470588235
obviously,91,118,0.7711864406779662
ia,91,112,0.8125
um,91,104,0.875
cannot,90,135,0.6666666666666666
ically,90,104,0.8653846153846154
particularly,90,131,0.6870229007633588
talking,90,122,0.7377049180327869
murder,90,102,0.8823529411764706
country,90,126,0.7142857142857143
highly,90,136,0.6617647058823529
release,90,117,0.7692307692307693
near,90,107,0.8411214953271028
light,90,128,0.703125
female,89,124,0.717741935483871
says,89,137,0.6496350364963503
viewers,89,100,0.89
viewing,89,106,0.839622641509434
te,89,122,0.7295081967213115
creepy,89,95,0.9368421052631579
huge,89,123,0.7235772357723578
meet,88,94,0.9361702127659575
feature,88,104,0.8461538461538461
sn,88,95,0.9263157894736842
tells,88,121,0.7272727272727273
"',",88,97,0.9072164948453608
romantic,88,107,0.822429906542056
wonder,88,127,0.6929133858267716
general,88,93,0.946236559139785
com,88,110,0.8
led,88,102,0.8627450980392157
george,88,96,0.9166666666666666
col,88,90,0.9777777777777777
sequences,88,95,0.9263157894736842
page,88,95,0.9263157894736842
cheap,87,137,0.635036496350365
ro,87,102,0.8529411764705882
coming,87,131,0.6641221374045801
annoying,87,115,0.7565217391304347
themselves,87,159,0.5471698113207547
hear,87,103,0.8446601941747572
80,87,115,0.7565217391304347
talk,87,103,0.8446601941747572
hate,87,120,0.725
oscar,86,98,0.8775510204081632
ah,86,108,0.7962962962962963
istic,86,95,0.9052631578947369
clear,86,112,0.7678571428571429
happened,86,92,0.9347826086956522
beginning,86,144,0.5972222222222222
running,86,115,0.7478260869565218
richard,86,96,0.8958333333333334
follow,85,108,0.7870370370370371
leads,85,94,0.9042553191489362
obvious,85,127,0.6692913385826772
scary,85,98,0.8673469387755102
'.,85,95,0.8947368421052632
america,85,116,0.7327586206896551
apparently,85,105,0.8095238095238095
looked,85,111,0.7657657657657657
pre,85,93,0.9139784946236559
non,85,106,0.8018867924528302
theme,85,106,0.8018867924528302
space,85,102,0.8333333333333334
minute,85,101,0.8415841584158416
wants,85,126,0.6746031746031746
ag,85,94,0.9042553191489362
events,85,104,0.8173076923076923
major,85,119,0.7142857142857143
actual,85,92,0.9239130434782609
zombie,85,96,0.8854166666666666
ends,84,134,0.6268656716417911
taken,84,109,0.7706422018348624
reality,84,115,0.7304347826086957
super,84,94,0.8936170212765957
jokes,84,116,0.7241379310344828
form,84,117,0.717948717948718
seriously,84,135,0.6222222222222222
falls,84,109,0.7706422018348624
ino,83,99,0.8383838383838383
free,83,103,0.8058252427184466
class,83,102,0.8137254901960784
single,83,113,0.7345132743362832
ha,83,96,0.8645833333333334
television,83,107,0.7757009345794392
hilarious,83,115,0.7217391304347827
la,83,97,0.8556701030927835
comic,83,103,0.8058252427184466
ated,83,93,0.8924731182795699
shots,83,99,0.8383838383838383
ten,83,122,0.680327868852459
problems,83,112,0.7410714285714286
hope,82,192,0.4270833333333333
japanese,82,90,0.9111111111111111
street,82,87,0.9425287356321839
cor,82,85,0.9647058823529412
using,82,95,0.8631578947368421
james,82,96,0.8541666666666666
suspense,82,84,0.9761904761904762
ass,82,85,0.9647058823529412
superb,82,100,0.82
realistic,82,96,0.8541666666666666
x,82,108,0.7592592592592593
lee,82,97,0.845360824742268
husband,82,102,0.803921568627451
quickly,81,94,0.8617021276595744
elements,81,99,0.8181818181818182
lady,81,97,0.8350515463917526
mention,81,119,0.680672268907563
novel,81,100,0.81
mark,81,89,0.9101123595505618
storyline,81,95,0.8526315789473684
haven,81,121,0.6694214876033058
jane,81,90,0.9
straight,81,100,0.81
brought,81,96,0.84375
room,81,105,0.7714285714285715
ice,81,93,0.8709677419354839
review,81,122,0.6639344262295082
sometimes,81,160,0.50625
wouldn,81,112,0.7232142857142857
od,81,88,0.9204545454545454
beat,81,94,0.8617021276595744
band,81,93,0.8709677419354839
eye,81,121,0.6694214876033058
believable,81,93,0.8709677419354839
miss,80,118,0.6779661016949152
dis,80,88,0.9090909090909091
30,80,98,0.8163265306122449
lots,80,93,0.8602150537634409
means,80,97,0.8247422680412371
hot,80,96,0.8333333333333334
ler,80,105,0.7619047619047619
setting,80,99,0.8080808080808081
ob,80,90,0.8888888888888888
wood,80,91,0.8791208791208791
among,80,94,0.851063829787234
horrible,79,124,0.6370967741935484
fall,79,100,0.79
across,79,111,0.7117117117117117
cop,79,86,0.9186046511627907
taking,79,125,0.632
opinion,79,102,0.7745098039215687
op,79,94,0.8404255319148937
living,79,119,0.6638655462184874
working,79,102,0.7745098039215687
thriller,79,97,0.8144329896907216
